Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B	pmid/DOI
3881	KRT31	7620	ZNF69	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	7678	ZNF124	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	7707	ZNF148	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	8409	UXT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	8543	LMO4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	8623	ASMTL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9075	CLDN2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9113	LATS1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9146	HGS	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9377	COX5A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9470	EIF4E2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9618	TRAF4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9659	PDE4DIP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9702	CEP57	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9759	HDAC4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9929	JOSD1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	9963	SLC23A1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10020	GNE	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10024	TROAP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10152	ABI2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10417	SPON2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10539	GLRX3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10551	AGR2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10667	FARS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	10783	NEK6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	23005	MAPKBP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	25796	PGLS	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	27023	FOXB1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	27156	RSPH14	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	51142	CHCHD2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	51296	SLC15A3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	51421	AMOTL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	51763	INPP5K	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	53358	SHC3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	54438	GFOD1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	54461	FBXW5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	54520	CCDC93	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	54535	CCHCR1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	54910	SEMA4C	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	54955	C1orf109	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55080	TAPBPL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55093	WDYHV1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55138	FAM90A1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55150	C19orf73	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55269	PSPC1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55698	RADIL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55739	CARKD	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55758	RCOR3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	55957	LIN37	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	56006	SMG9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	56911	MAP3K7CL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	56984	PSMG2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	57647	DHX37	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	57787	MARK4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	58524	DMRT3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	64170	CARD9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	64927	TTC23	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	64976	MRPL40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	78990	OTUB2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79005	SCNM1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79022	TMEM106C	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79038	ZFYVE21	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79058	ASPSCR1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79065	ATG9A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79165	LENG1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79446	WDR25	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79583	TMEM231	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79622	SNRNP25	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79637	ARMC7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79642	ARSJ	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79794	C12orf49	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	79843	FAM124B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	80321	CEP70	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	80764	THAP7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	83541	FAM110A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	83640	FAM103A1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	83878	USHBP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	84294	UTP23	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	84707	BEX2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	84832	ANKRD36BP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	85302	FBF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	85359	DGCR6L	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	89796	NAV1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	89953	KLC4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	90060	CCDC120	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	91289	LMF2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	91694	LONRF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	112802	KRT71	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	114971	PTPMT1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	115106	HAUS1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	116835	HSPA12B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	117178	SSX2IP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	127703	C1orf216	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	137209	ZNF572	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	140885	SIRPA	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	147525	LINC00526	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	148266	ZNF569	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	149371	EXOC8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	149483	CCDC17	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	151254	ALS2CR11	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	153733	CCDC112	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	154313	C6orf165	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	154796	AMOT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	158787	RIBC1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	166979	CDC20B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	170954	PPP1R18	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	196472	FAM71C	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	196477	CCER1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	199834	LCE4A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	200081	TXLNA	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	202051	SPATA24	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	222255	ATXN7L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	284338	PRR19	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	285367	RPUSD3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	285679	C5orf60	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	285753	CEP57L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	286887	KRT6C	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	338785	KRT79	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	340359	KLHL38	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	374454	KRT77	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	375307	CATIP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	401508	FAM74A4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	440184	LINC00238	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	441208	ZNRF2P1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3881	KRT31	493753	COA5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3884	KRT33B	10152	ABI2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3884	KRT33B	338785	KRT79	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3887	KRT81	5013	OTX1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3887	KRT81	8687	KRT38	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3887	KRT81	125115	KRT40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3889	KRT83	8687	KRT38	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3889	KRT83	386675	KRTAP10-7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3889	KRT83	386676	KRTAP10-9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3889	KRT83	386681	KRTAP10-8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3889	KRT83	386682	KRTAP10-3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3889	KRT83	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3892	KRT86	4223	MEOX2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3895	KTN1	4223	MEOX2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3895	KTN1	6449	SGTA	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3895	KTN1	64581	CLEC7A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3895	KTN1	163183	SYNE4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3904	LAIR2	6449	SGTA	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3904	LAIR2	11117	EMILIN1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3925	STMN1	91404	SESTD1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	5684	PSMA3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	5987	TRIM27	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	6925	TCF4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	9319	TRIP13	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	9513	FXR2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	10253	SPRY2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	22899	ARHGEF15	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	51101	ZC2HC1A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	55145	THAP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	55964	sep/03	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	84445	LZTS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	84528	RHOXF2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	85291	KRTAP4-2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3927	LASP1	221504	ZBTB9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3932	LCK	54901	CDKAL1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3932	LCK	84445	LZTS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3937	LCP2	8440	NCK2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3937	LCP2	9402	GRAP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3937	LCP2	9513	FXR2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3937	LCP2	10254	STAM2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3939	LDHA	3945	LDHB	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3939	LDHA	5602	MAPK10	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3945	LDHB	3945	LDHB	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3945	LDHB	5830	PEX5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3954	LETM1	5684	PSMA3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3957	LGALS2	6386	SDCBP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3957	LGALS2	27111	SDCBP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3958	LGALS3	3958	LGALS3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3958	LGALS3	9360	PPIG	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3958	LGALS3	26039	SS18L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3958	LGALS3	54458	PRR13	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3964	LGALS8	8887	TAX1BP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3964	LGALS8	10241	CALCOCO2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3964	LGALS8	11043	MID2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3981	LIG4	7518	XRCC4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3983	ABLIM1	64170	CARD9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
3987	LIMS1	6251	RSU1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4000	LMNA	4000	LMNA	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4000	LMNA	51207	DUSP13	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4000	LMNA	386675	KRTAP10-7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4000	LMNA	386682	KRTAP10-3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	5774	PTPN3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	5932	RBBP8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	5987	TRIM27	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	6660	SOX5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	6925	TCF4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	8548	BLZF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	8861	LDB1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	9404	LPXN	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	22806	IKZF3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	23099	ZBTB43	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	24144	TFIP11	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	25959	KANK2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	51222	ZNF219	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	53335	BCL11A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	54507	ADAMTSL4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	54906	FAM208B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	55536	CDCA7L	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	64170	CARD9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	80817	CEP44	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	84445	LZTS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	125115	KRT40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	158297	FAM154A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	220082	SPERT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	256646	NUTM1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4004	LMO1	645455	CEP170P1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	4107	MAGEA8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	4670	HNRNPM	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	5152	PDE9A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	5592	PRKG1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	6093	ROCK1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	6500	SKP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	6660	SOX5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	6772	STAT1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	6774	STAT3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	7205	TRIP6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	7286	TUFT1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	7329	UBE2I	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	7572	ZNF24	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	7965	AIMP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	8548	BLZF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	8861	LDB1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	10152	ABI2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	10241	CALCOCO2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	10443	N4BP2L2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	10589	DRAP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	10982	MAPRE2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	22806	IKZF3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	22919	MAPRE1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	22924	MAPRE3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	23281	MTUS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	23636	NUP62	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	25959	KANK2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	29844	TFPT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	51361	HOOK1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	51562	MBIP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	54507	ADAMTSL4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	54971	BANP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	55734	ZFP64	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	57085	AGTRAP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	57159	TRIM54	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	60491	NIF3L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	60561	RINT1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	80125	CCDC33	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	80174	DBF4B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	81628	TSC22D4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	84445	LZTS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	84970	C1orf94	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	112752	IFT43	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	114932	MRFAP1L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	116173	CMTM5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	117178	SSX2IP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	125115	KRT40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	130162	CLHC1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	158297	FAM154A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	220082	SPERT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	256646	NUTM1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	339834	CCDC36	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	386675	KRTAP10-7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4005	LMO2	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4007	PRICKLE3	6820	SULT2B1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4010	LMX1B	8861	LDB1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4012	LNPEP	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4012	LNPEP	6925	TCF4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4012	LNPEP	89885	FATE1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4034	LRCH4	125115	KRT40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4034	LRCH4	386675	KRTAP10-7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4034	LRCH4	386681	KRTAP10-8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4034	LRCH4	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4059	BCAM	11275	KLHL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
4068	SH2D1A	10188	TNK2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
