HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
C1R	12	7080209	7092607
RN7SL477P	19	1570575	1570860
MIR4424	1	178677749	178677834
RNU6-709P	10	114111414	114111517
RN7SKP37	10	21933143	21933438
RNU1-1	1	16514122	16514285
RNU6-1237P	1	40177843	40177949
MIR7856	1	86357632	86357687
MIR125A	19	51693254	51693339
MIR4771-1	2	87194786	87194859
RN7SL596P	11	63797784	63798071
ZNF155	19	43967862	43998325
MIR1269B	17	12917268	12917342
RNA5SP28	13	50812988	50813106
MIR4509-2	CHR_HSCHR15_1_CTG8	28437791	28437884
RNU6-303P	Y	4174985	4175090
RN7SL753P	2	202333439	202333728
RNA5S10	1	228630390	228630508
MIR155	21	25573980	25574044
MIR3660	5	90016621	90016731
MIR656	14	101066724	101066801
RN7SKP262	12	25779287	25779569
MIR548BB	3	60617805	60617870
RN7SL551P	18	74227506	74227803
MIR4646	CHR_HSCHR6_MHC_DBB_CTG1	31683200	31683262
RNU2-52P	20	41024205	41024394
MIR514B	X	147250151	147250230
TRIM39	CHR_HSCHR6_MHC_APD_CTG1	30390376	30410761
MIR4326	20	63286808	63286866
RN7SL422P	9	67175775	67176035
MIR4727	CHR_HSCHR17_7_CTG4	38626625	38626679
OR9A1P	7	141887148	141888092
MIR4540	9	36864254	36864308
RNU6-819P	8	47131781	47131887
SNORD125	22	29333163	29333258
RN7SKP95	15	58703852	58704154
MIR199A2	1	172144535	172144644
RNA5SP317	10	49979665	49979780
MCIDAS	5	55219614	55227315
RN7SL92P	3	75713012	75713314
RNU4-8P	2	97664591	97664731
RN7SL411P	3	40209005	40209304
RNU6-639P	20	43796437	43796543
RNU5A-5P	1	231670635	231670750
RN7SL482P	3	66323855	66324152
SNORA79	14	81202695	81202834
RN7SL38P	12	24706788	24707083
CNOT3	CHR_HSCHR19LRC_LRC_T_CTG3_1	54138182	54156191
RNA5SP427	16	53337453	53337571
RNA5SP138	3	126564565	126564678
RNU6-1152P	17	48196680	48196786
RN7SL714P	14	98351367	98351664
HADHAP1	4	165404067	165406350
MIR3670-1	16	14907717	14907781
MIR575	4	82753337	82753430
RNU5E-6P	1	44819883	44819997
RN7SL106P	15	23165897	23166186
MIRLET7D	9	94178826	94178930
MIR4666B	X	29574278	29574358
SZRD1	1	16352575	16398145
RNU1-40P	Y	25928979	25929142
MIR4674	9	136546173	136546259
RNU6-574P	12	51987657	51987763
MIR449A	5	55170532	55170622
SNORD42B	17	28720550	28720616
RNU6-722P	X	48959179	48959282
MIR378I	22	41923222	41923297
RN7SKP21	14	36231555	36231774
RNU6-245P	X	68539443	68539549
PRICKLE4	6	41783474	41787129
KLF13	CHR_HSCHR15_4_CTG8	31478417	31529455
MIR664A	1	220200538	220200619
C19orf48	19	50797704	50804929
MIR4787	3	50675080	50675163
PER1	17	8140472	8156506
RNU4-23P	11	122927034	122927173
RN7SKP137	4	121061172	121061478
RNA5SP40	1	9437669	9437778
RNU4ATAC17P	3	8364529	8364648
ZNF431	19	21142024	21196053
RNA5SP506	X	69672479	69672597
RNA5SP81	1	242134272	242134381
RN7SL575P	2	95003545	95003843
PRAMEF18	1	13222695	13226133
SNORD114-2	14	100951856	100951933
RN7SKP267	X	148822164	148822448
RN7SL509P	6	96914699	96914995
MIR25	7	100093560	100093643
LTB	CHR_HSCHR6_MHC_SSTO_CTG1	31571300	31573267
RN7SL736P	15	90293939	90294207
RNU2-1	17	43233787	43233977
RN7SKP295	5	83685866	83686018
MIR576	4	109488698	109488795
MIR7155	11	64341849	64341904
RNU6-1234P	14	29811916	29812018
SCARNA4	1	155925958	155926085
LILRP2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54707916	54713453
RNU2-47P	9	12300266	12300451
RNA5SP454	18	42270589	42270715
SNORD22	11	62852910	62853035
RN7SL531P	2	43492032	43492313
MIR7844	12	94571231	94571352
SNORD18A	15	66503243	66503314
RCBTB2	13	48488959	48533256
MIR6833	CHR_HSCHR6_MHC_APD_CTG1	32246825	32246885
HLA-V	CHR_HSCHR6_MHC_MCF_CTG1	29787918	29794690
RNU6-984P	9	109196201	109196309
RNA5SP67	1	173921070	173921200
MIR5196	19	35345513	35345627
SNORA11E	X	52063347	52063474
MIR937	CHR_HSCHR8_3_CTG7	143799964	143800049
MIR1202	6	155946797	155946879
RN7SKP155	8	123588759	123589046
RNU6-670P	3	10037552	10037655
TNFSF12-TNFSF13	17	7549099	7561601
RN7SL607P	20	20738433	20738731
MIR2467	2	239351724	239351804
MIR503	X	134546328	134546398
RNA5SP206	6	32078508	32078628
MIR3183	CHR_HSCHR17_3_CTG2	1022476	1022559
MIR4668	9	111932100	111932169
MIR578	4	165386242	165386337
SNORD34	19	49490904	49490974
SNORA71D	20	38433865	38433998
RNA5SP202	6	4427963	4428081
MIR3123	1	241132272	241132346
RNU6ATAC4P	3	36968191	36968316
RNU7-73P	3	37573151	37573213
RNU7-160P	14	103550345	103550406
RNU6-433P	2	55014418	55014521
RNA5SP118	2	209721913	209722021
MIR6765	14	105150778	105150864
ZNF286A	17	15699577	15720787
MIR6761	12	111799834	111799905
ALG1L9P	11	71800541	71804640
RN7SL339P	5	171359117	171359412
RNA5SP37	13	97362972	97363101
RN7SL193P	4	43863274	43863549
MIR1302-4	2	207269275	207269424
RNA5SP157	4	19181814	19181856
MIR4775	2	207754807	207754881
RNA5S3	1	228614750	228614868
OSCAR	CHR_HSCHR19LRC_LRC_I_CTG3_1	54094681	54102740
RNU6-791P	1	222503632	222503735
RNU1-35P	8	135742343	135742495
RNU6-900P	22	37891347	37891448
DLX4	17	49968970	49974959
MIR8060	3	96359964	96360039
MIR5582	11	46753125	46753192
RN7SL850P	16	4633591	4633881
MIR4749	19	49854591	49854651
MIR6859-1	1	17369	17436
RNU7-14P	20	53668697	53668758
MIR550A3	7	29680734	29680828
RNU2-38P	1	148939739	148939817
RN7SL52P	21	9902344	9902627
MIR1268A	15	22225278	22225329
RN7SL462P	9	61427617	61427877
MIR3151	8	103154614	103154689
MIR8061	CHR_HSCHR19_4_CTG3_1	54653507	54653581
MIR649	22	21034176	21034272
MIR6796	19	40369846	40369907
MIR1537	1	235853000	235853060
SNORD53	2	28927067	28927144
RN7SL553P	3	5252926	5253223
WBP1	2	74458329	74460891
MIR204	9	70809957	70810087
RN7SL750P	7	100821027	100821264
MIR3174	15	90006755	90006841
RNU2-53P	15	53651977	53652123
RN7SL214P	15	77916718	77916982
RNU7-23P	11	66919762	66919823
SNORD117	CHR_HSCHR6_MHC_DBB_CTG1	31518553	31518628
RNU6-733P	4	107867807	107867910
MIR4257	1	150551929	150552014
RN7SL299P	1	232222866	232223145
MIR3125	2	12737367	12737444
RNU6-89P	1	202410108	202410207
RNU6-8	14	32203163	32203269
RNU6-874P	11	129202966	129203070
RNU7-170P	12	121908103	121908163
MIR561	2	188297492	188297588
MIR1827	15	78038531	78038595
SP2	17	47896150	47928957
RNU6-1331P	8	53914719	53914824
RN7SL294P	3	75182754	75183048
MIR297	4	110860582	110860647
RNU4-33P	4	119367562	119367646
MIR6763	12	132581997	132582061
MIR508	X	147236913	147237027
GSKIP	14	96363452	96387288
SNORD46	1	44776490	44776593
MIR502	X	50014598	50014683
RNA5SP255	8	13536029	13536135
RN7SL621P	8	33580210	33580508
RNU6-1076P	19	223158	223261
SNORD33	19	49490615	49490699
RN7SKP92	14	100487544	100487787
RNU6-240P	14	73659564	73659660
CFAP43	10	104129888	104232362
RNU6-48P	1	27325219	27325325
RNU6-371P	1	62298149	62298256
MIR3666	7	114653345	114653455
RNU6-648P	X	115032427	115032533
RN7SL446P	4	152264150	152264445
MRGPRF	11	69004395	69013409
RNU2-48P	5	157976766	157976956
FAM46A	6	81491439	81752774
RNU6-171P	1	164639565	164639671
RNA5SP201	6	3088686	3088809
RN7SL144P	X	41683168	41683462
RNU6-202P	X	41919254	41919349
RNU6-1100P	1	157784	157887
RNU6-636P	1	37203610	37203716
MIR4516	16	2133119	2133204
MIR328	16	67202308	67202418
RNA5SP282	9	34206134	34206241
RNU1-20P	3	192729555	192729716
RNU2-56P	20	18265690	18265879
MIR554	1	151545796	151545891
RN7SL254P	4	147808926	147809209
RNU6-174P	12	3726222	3726327
RNU6-888P	5	138123011	138123111
MIR4751	19	49933064	49933137
SNORA68	19	17862588	17862720
RNA5SP42	1	34112949	34113063
MIR6794	19	12852260	12852327
MIR5688	3	85385710	85385792
RN7SL77P	14	70610086	70610379
RNU1-106P	8	127999131	127999294
RNU6-198P	2	39082589	39082692
RN7SL498P	20	6001733	6002030
RNA5SP356	12	30306431	30306524
RNY4P28	13	60187738	60187830
SNORD20	2	231456444	231456523
CSN3	4	70242588	70251428
RNU6-844P	15	57405074	57405175
RNU7-69P	X	123772078	123772139
RNU6-562P	X	75202703	75202809
RNU6-278P	20	13973316	13973424
RNU5E-9P	2	178142548	178142651
RNU6-365P	11	41122907	41123012
SNORA53	12	98599635	98599883
RNU6-747P	CHR_HSCHR1_3_CTG32_1	243081156	243081259
RNA5SP300	10	12924679	12924785
RNU7-187P	11	112977353	112977420
RNU6-451P	2	230587121	230587227
GRM7	3	6770001	7741533
MIR4700	12	120723193	120723266
RNU6-1285P	4	154543933	154544037
MIR616	12	57519163	57519259
RNU6-73P	13	27828763	27828869
SNORD14E	11	123058077	123058161
RNA5SP442	17	41718154	41718260
RNU6-434P	X	54343546	54343652
MIR767	X	152393413	152393523
RNA5SP106	2	147713455	147713554
CRHR1	CHR_HSCHR17_1_CTG5	46261820	46313387
RNU6-1309P	1	150812591	150812698
RNU6-522P	6	15314920	15315026
MIR6728	1	8866502	8866590
SNORD116-18	15	25085385	25085476
MIR1185-2	14	101044198	101044283
RN7SL434P	3	196397508	196397778
RN7SL174P	5	119306343	119306631
MIR484	16	15643281	15643390
RNU6-640P	2	86515204	86515308
HMGN1P10	3	136609050	136609602
RNU6-535P	10	7486703	7486809
RNU6-921P	14	68735922	68736028
MIR345	14	100307859	100307956
RNU6-1276P	8	27773645	27773748
RN7SL78P	10	87832818	87833098
RNA5SP338	11	22688351	22688435
MIR373	19	53788705	53788773
RNA5SP504	X	52665231	52665347
RNU2-72P	10	60912765	60912927
RNU6-1060P	6	23124981	23125087
MTMR3	22	29883155	30030866
MIR6836	7	2257515	2257577
PDE1A	2	182140036	182523192
MIR28	3	188688781	188688866
RNA5SP57	1	148193716	148193838
SNORA32	11	93730979	93731099
MIR6797	19	41869627	41869698
RN7SKP36	4	7112088	7112399
GLB1	3	32996608	33097230
MIR4704	13	66218250	66218324
MIR520G	19	53722166	53722255
RNA5SP133	3	56185104	56185222
VSTM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54040833	54063953
MIR4725	17	31575269	31575358
RNA5SP406	16	35734393	35734504
MIR143	5	149428918	149429023
SNORD83A	22	39315213	39315307
RNU6-1216P	2	69182877	69182983
PCDHA3	5	140801028	141012344
RN7SL644P	10	92659044	92659302
RNA5SP73	1	189666149	189666256
RNA5SP407	16	35734639	35734748
RNU6-764P	X	152250572	152250676
SNORD115-8	15	25184306	25184387
RNA5SP523	Y	18348035	18348147
MIR3672	X	121370972	121371053
MIR8064	3	52846463	52846552
MIR518F	19	53700015	53700101
ENPP1	6	131808016	131895155
MIR147A	9	120244979	120245050
HECTD2	10	91409280	91514829
RNU6-1229P	7	65023204	65023310
RN7SL666P	20	43222206	43222509
RNA5SP199	5	155845437	155845528
RNU6-985P	X	137687891	137687994
RNU6ATAC30P	14	49684544	49684665
MIR3156-3	21	13406384	13406460
RN7SL571P	13	76134931	76135225
RNU1-34P	6	75473738	75473894
RNA5SP203	6	10752791	10752926
RNU6-976P	14	84739942	84740052
RNU1-150P	5	40269558	40269719
TARM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54069947	54081380
RN7SL784P	17	4882975	4883316
SNORD48	CHR_HSCHR6_MHC_QBL_CTG1	31825510	31825572
MIR8074	19	51206929	51207009
RNU6-119P	4	116839279	116839385
MIR4445	3	109602828	109602897
MIR181A1	1	198859044	198859153
RNU6-837P	12	17071398	17071505
TPPP2	14	21024109	21036276
MIR138-1	3	44114212	44114310
RNU6-577P	2	36867398	36867495
RNA5SP160	4	40990154	40990273
MIR4723	17	28360654	28360734
RN7SL819P	17	44718861	44719130
RNA5SP264	8	36764445	36764551
RNU7-30P	14	91091077	91091138
MIR1255B2	1	167998660	167998726
EXOSC9	4	121801317	121817021
MIR8085	19	44758657	44758721
MIR1277	X	118386370	118386477
RNU6-889P	10	2098167	2098269
RNA5SP380	14	20090130	20090227
MIR501	X	50009722	50009805
RNU6-208P	16	71666091	71666197
RN7SL591P	10	62350006	62350297
MIR4788	3	134437827	134437906
RNU6-879P	12	57415296	57415403
SNORD115-31	15	25227109	25227190
RN7SL785P	X	47280811	47281063
RN7SL767P	3	113632704	113632998
RN7SL734P	12	75957833	75958130
RNY4P36	17	76703632	76703727
RN7SL802P	5	101581830	101582128
RN7SL169P	5	64539504	64539792
RNU6-277P	11	105974826	105974931
RNU6-294P	5	64573569	64573670
MIR3690	X	1293918	1293992
RN7SL118P	X	119434519	119434820
PABPC1P8	CHR_HSCHR10_1_CTG3	42265530	42267615
RNA5SP373	12	111339527	111339621
MIR3118-1	21	13644775	13644850
RNU6-177P	7	128627172	128627275
MIR605	10	51299573	51299655
SNORA63	3	186787300	186787431
RN7SKP162	12	13683542	13683886
RNA5SP23	1	78375164	78375268
CPE	4	165361194	165498320
MIR8071-2	14	105640168	105640232
MIR6862-2	16	28724252	28724321
RNU6-898P	16	69007052	69007155
MIR655	14	101049550	101049646
RNU6-576P	10	2199387	2199488
RNU7-6P	20	51904969	51905030
TSEN34	CHR_HSCHR19LRC_PGF2_CTG3_1	54190866	54195141
MIR874	5	137647562	137647673
RN7SL763P	9	39886861	39887144
RNU6-1074P	4	139256657	139256760
RNU7-28P	11	9843815	9843876
MIR136	14	100884697	100884788
RNU6-729P	8	10476223	10476329
RNA5SP99	2	81496214	81496327
MIR4761	22	19963753	19963834
RNA5SP121	2	227763052	227763152
SPEM1	17	7420360	7421632
RNU4-44P	X	134760208	134760348
ZFP28	19	56538948	56556810
RNA5SP127	3	31228715	31228847
MIR8058	16	82688931	82689019
RNA5SP243	7	128697710	128697744
RNU6-18P	15	32284152	32284258
RNA5SP423	16	35755177	35755285
RNU6-661P	5	62443176	62443282
RN7SL459P	12	19176288	19176589
MIR548AB	3	103524033	103524116
MIR195	17	7017615	7017701
MIR3198-2	12	54231397	54231476
RN7SL868P	5	149722070	149722372
RPL31P63	X	68600099	68600473
RNU6-374P	5	25701217	25701324
RNU6-386P	3	77092057	77092163
MIR744	17	12081899	12081996
RNU6-1183P	12	101871742	101871801
MIR664B	X	154768596	154768656
MIR1468	X	63786002	63786087
RNU6-1219P	22	29191697	29191808
MIR127	14	100882965	100883075
RNU6-1140P	2	237563165	237563270
RNU6-823P	3	128141875	128141977
RNU4ATAC13P	5	113493835	113493960
MIR3135B	6	32749912	32749979
SNORD30	11	62853663	62853732
RNA5SP105	2	137512098	137512210
TPD52L3	9	6328375	6331900
RNU6-1194P	3	282689	282792
RNU7-176P	2	10815485	10815546
MIR130B	22	21653304	21653385
MIR103A2	20	3917494	3917571
RNU6-858P	3	197894507	197894613
RNU4-91P	3	175609479	175609613
MIR3960	9	127785833	127785923
RN7SL178P	8	8582352	8582655
MIR548F5	X	32641474	32641559
MIR4734	CHR_HSCHR17_7_CTG4	38503049	38503118
RN7SKP142	16	51671236	51671563
RN7SL552P	4	84687725	84688000
RNU6-1339P	15	83824863	83824953
MIR1343	11	34941837	34941920
MIR320D2	X	140926172	140926219
RNU4-46P	16	19498610	19498747
MIR4792	3	24521362	24521435
RN7SL771P	7	140645829	140646126
SCARNA16	17	77089307	77089493
RN7SL566P	19	39369153	39369448
MIR942	1	117094643	117094728
RN7SL273P	6	37361185	37361483
MIR4438	2	213758067	213758159
RNU6-1190P	5	37619985	37620088
RNA5SP395	15	50463381	50463498
RNU6-1010P	7	131054886	131054992
RN7SL565P	9	41578903	41579186
RNU4-13P	17	59537359	59537499
RDH13	CHR_HSCHR19LRC_LRC_J_CTG3_1	55077480	55096373
SNORD116-3	15	25056860	25056954
RN7SL574P	1	3782815	3783111
RNY3P8	13	95310830	95310955
COX6CP12	X	68645326	68645527
RNU6-828P	1	10163268	10163374
SIRPAP1	22	30542536	30544305
MIR519D	19	53713347	53713434
RNA5SP411	16	35746523	35746636
SNORD114-25	14	100986057	100986128
RN7SL430P	9	112272596	112272837
SEPT10	2	109542982	109614206
MIR557	1	168375524	168375621
MIR4439	2	225010461	225010540
MIR183	7	129774905	129775014
RN7SL414P	2	45569199	45569492
RPPH1-3P	4	156986372	156986693
RN7SL732P	X	39786524	39786823
RN7SL500P	22	50371210	50371496
RN7SL557P	16	25185253	25185538
MIR548AG2	20	60564562	60564625
MIR6515	19	12940484	12940540
RNU1-116P	CHR_HSCHR6_MHC_COX_CTG1	32505701	32505847
MIR489	7	93483936	93484019
RN7SKP223	7	138091254	138091315
VTI1BP2	4	183483490	183484185
RN7SL619P	19	13815062	13815319
RNU6-290P	1	171418644	171418750
MIR4646	CHR_HSCHR6_MHC_SSTO_CTG1	31691793	31691855
RNU6-1132P	2	132152243	132152349
MIR6818	22	30007049	30007113
MIR4768	X	17425881	17425954
RNU4-11P	5	83803554	83803685
PALMD	1	99645943	99694541
RNA5SP322	10	86052448	86052566
RNU7-49P	11	14478892	14478953
RN7SL229P	3	180736405	180736703
RNU6-1336P	4	168686608	168686716
MIR8053	4	47652669	47652743
MIR6087	X	109054542	109054590
RNA5SP192	5	132848577	132848696
RN7SL390P	12	54255627	54255910
MIR505	X	139924126	139924237
SNORA12	10	100237156	100237302
MIR4442	3	25664873	25664939
RNU1-79P	CHR_HSCHR6_MHC_COX_CTG1	32441551	32441699
RNU6-584P	1	37885023	37885117
RNA5SP193	5	136969200	136969306
MIR765	1	156936131	156936244
SNORD96A	5	181241814	181241892
MIR6782	17	44207771	44207839
RN7SL630P	12	93831076	93831372
MIR4295	10	112634170	112634254
MIR6729	1	12029158	12029222
RNU6-692P	2	147408342	147408448
RN7SL530P	14	74174456	74174753
RN7SL313P	2	97100587	97100874
MIR4281	5	176629439	176629500
MIR1302-9	9	30144	30281
MIR219A1	CHR_HSCHR6_MHC_MCF_CTG1	33378195	33378304
MIR6868	17	76098019	76098076
RNU6-969P	1	52805108	52805212
MIR320A	8	22244962	22245043
RNA5SP252	8	10686569	10686687
MIR618	12	80935736	80935833
RNU6-1026P	1	50582404	50582511
RNU6V	1	109591534	109591640
FAM231B	KI270713.1	35407	35916
RNU6-1240P	1	186311825	186311928
RNU6-618P	12	31396390	31396501
RNU6-325P	10	85537379	85537483
RN7SL385P	22	37669464	37669739
MIR5705	4	87300495	87300583
CHRDL1	X	110673856	110795819
TFPT	CHR_HSCHR19LRC_COX1_CTG3_1	54107066	54115801
MIR3680-1	16	21506049	21506135
SNORA35	X	114630797	114630924
MIR3917	1	25906362	25906454
RNA5SP241	7	121083700	121083813
RNU6-690P	8	95599114	95599219
MIR4716	15	49169070	49169153
RNU1-14P	7	53366058	53366209
SNORA70D	16	71698567	71698701
MIR1200	7	36919357	36919432
SUZ12	17	31937018	32001045
MIR5692C1	5	135802985	135803075
RN7SL606P	17	60696313	60696605
MIR3133	2	241477905	241477982
BTBD2	19	1985438	2034881
RNA5SP222	6	146340420	146340524
RNU6-456P	5	134500178	134500284
SNORD11	2	202293051	202293134
RNU7-156P	5	143542514	143542587
MIR4433B	2	64340747	64340848
RN7SL67P	12	19303480	19303775
RNA5SP259	8	28530411	28530519
RNU6-150P	6	20993474	20993568
MIR193A	17	31559996	31560083
MIR4460	5	129397062	129397147
RAB1B	11	66268533	66277492
RN7SL117P	2	21922993	21923288
RNA5SP267	8	59455885	59456010
RN7SL293P	8	11379395	11379675
MIR150	19	49500762	49500873
RNU4-7P	6	150326623	150326763
GP6	CHR_HSCHR19LRC_COX2_CTG3_1	54684540	54709099
MIR548B	6	119069047	119069143
RNU4-2	12	120291763	120291903
MIR4654	1	162157107	162157182
RNA5SP520	Y	17557864	17557976
RNA5SP443	17	45327366	45327497
RNU6-915P	2	195670372	195670474
MIR3939	6	166997807	166997912
MIR3202-1	X	153981097	153981177
MIR3202-2	X	153981097	153981177
MIR4288	8	28505116	28505182
RNA5SP462	19	453134	453245
MIR518E	19	53729838	53729925
RNA5SP353	12	13440884	13441001
SNORD62B	9	131490486	131490571
VSTM1	CHR_HSCHR19LRC_COX2_CTG3_1	54040833	54063953
GNL2	1	37566816	37595935
PCDHB13	5	141213919	141218979
RNA5SP156	4	11414051	11414160
RN7SKP88	1	148839483	148839732
MIR4684	1	22719517	22719598
BTNL2	CHR_HSCHR6_MHC_MCF_CTG1	32470120	32483292
RNU6-334P	5	104780288	104780389
MIR361	X	85903611	85903722
RNU6-398P	14	60974327	60974435
RNU6-980P	19	53732981	53733083
RNU6-760P	5	31832439	31832535
RN7SL774P	17	4364164	4364453
SNORD115-47	15	25268466	25268551
RN7SL614P	1	10616836	10617115
RN7SL776P	4	167400495	167400762
RNA5SP497	22	32635102	32635198
MIR181D	19	13874875	13875011
MIR4498	12	120155434	120155499
RN7SL838P	11	440399	440693
ITGAX	16	31355134	31382997
KIR3DL3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54724448	54736134
MIR548D2	17	67471489	67471585
MIR548AA2	17	67471489	67471585
SNORD117	CHR_HSCHR6_MHC_APD_CTG1	31603330	31603405
RNY4P34	2	200373175	200373269
RN7SL189P	14	20963579	20963867
RNU7-133P	6	14156462	14156523
RNU6-1311P	5	134634839	134634945
MIR4647	6	44254206	44254285
RNU6-249P	12	42398550	42398651
RNU6ATAC8P	8	102421197	102421322
RNU6-587P	X	101691580	101691685
RNU5D-1	1	44731055	44731170
RNU6-610P	15	43637632	43637738
OCRL	X	129539849	129592561
MIR634	17	66787072	66787168
RNA5SP343	11	74198748	74198854
SNORD115-32	15	25228967	25229048
CNTLN	9	17134982	17503923
RNU6-565P	7	37351143	37351242
RNA5SP161	4	56097390	56097504
MIR4282	6	72967687	72967753
MIR526A2	19	53726922	53726986
SNORD115-1	15	25170723	25170804
SNORD88A	19	50799442	50799532
RNA5SP65	1	167005959	167006077
RN7SL808P	4	114799331	114799629
MIR6768	16	2463967	2464038
RN7SL241P	10	30366064	30366299
RNU6-614P	21	13047583	13047689
RN7SL336P	6	89090946	89091242
RNU6-789P	3	136721394	136721495
RNU6-259P	2	124989219	124989325
RNA5SP209	6	75865239	75865335
RNA5SP107	2	154590407	154590528
RNU6-260P	5	157809098	157809204
RN7SKP198	7	102857450	102857755
RN7SL41P	8	80204606	80204902
MIR516B2	19	53725442	53725526
RNU6-512P	2	135656477	135656579
MIR4450	4	76573568	76573632
RNA5SP69	1	178560913	178561029
RNA5SP498	X	1300256	1300375
RNA5SP95	2	60998752	60998888
RNU6-1006P	2	170119996	170120098
MIR299	14	101023780	101023890
MIR6082	4	171186184	171186292
RNU7-25P	18	3093568	3093629
MIR6807	19	58550285	58550376
PIGV	1	26787472	26798398
ATP8A2P2	13	32477274	32478841
MKKS	20	10401009	10434222
RNU1-86P	Y	23946618	23946771
RNU6-464P	6	53153795	53153898
NMT2	10	15102584	15168693
RN7SL242P	1	70180144	70180440
RNU6-457P	16	6873899	6874005
MIR128-1	2	135665383	135665493
RN7SL493P	16	10221775	10222073
RN7SL152P	4	140577925	140578222
RNA5SP90	2	31228312	31228410
MIR5682	3	121049640	121049715
SNX27	1	151612065	151699091
RMRP	9	35657754	35658017
RNU6-572P	5	139221758	139221837
RN7SL284P	CHR_HSCHR10_1_CTG4	77912271	77912545
RNU6-959P	2	191121950	191122056
MIR18B	X	134170017	134170125
C3orf14	3	62318973	62336213
RNA5SP39	13	108301212	108301331
RN7SKP15	12	27806082	27806390
MIR3135B	CHR_HSCHR6_MHC_QBL_CTG1	32678610	32678677
RNU6-187P	2	176929985	176930090
MIR7975	19	55123225	55123292
TMC4	CHR_HSCHR19LRC_LRC_I_CTG3_1	54160649	54173691
MIR4698	12	47187812	47187891
RNU6-21P	16	62187540	62187646
MIR653	7	93482760	93482855
MIR6802	19	55239912	55239976
CELF2-AS2	10	11071541	11105504
MIR3680-2	16	29599179	29599265
RNU1-88P	6	36639545	36639672
MIR4677	1	243346176	243346255
SDCBP2	20	1309909	1329239
RNU6-1330P	5	74779309	74779413
RNU6-519P	8	47979414	47979521
RNA5SP94	2	59694762	59694869
OR10X1	1	158578919	158579899
RNU6-1023P	6	54786387	54786492
RNA5SP166	4	148557947	148558048
KIR2DS4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54877376	54892982
MIR1208	8	128150116	128150188
OR2L8	1	247948858	247949796
MIR6815	21	45478266	45478326
MIR3649	12	1660315	1660380
MIR34B	11	111512931	111513040
RNU6-495P	22	41377177	41377283
OR2T11	1	248626178	248627128
RNU4-56P	3	39970125	39970266
RNU6-821P	CHR_HSCHR3_9_CTG3	198071311	198071417
MIR6760	12	111304142	111304209
MIR4758	20	62332487	62332557
MIR145	5	149430646	149430733
RNA5SP139	3	127963608	127963724
SNORD12B	20	49280319	49280409
OR51F1	11	4768979	4769917
RNA5SP246	7	130602795	130602913
RNU6-477P	5	169552449	169552555
RNU6-669P	9	94507738	94507844
MIR5695	19	12920320	12920404
GPR75	2	53852913	53859989
RNU6-33P	4	88684848	88684954
MIR4487	11	47400970	47401042
MIR934	X	136550878	136550960
SNORD14D	11	123058909	123058995
MIR3143	6	27147626	27147688
OR52R1	11	4803433	4804380
RNU1-73P	5	97175950	97176113
RNU6-159P	16	27863251	27863356
SNORD32B	CHR_HSCHR6_MHC_DBB_CTG1	29582205	29582288
MIR1204	8	127795962	127796028
KIR2DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54814475	54828769
OR51G1	11	4923374	4924339
RNA5SP398	15	69367585	69367681
OR51B2	11	5323359	5324297
RNU6-598P	10	30299569	30299673
MIR3179-1	CHR_HSCHR16_1_CTG1	15312469	15312552
RNU6ATAC13P	4	170891467	170891597
SNORD113-7	14	100941126	100941202
RNU6-708P	18	48169784	48169890
MIR30B	8	134800520	134800607
OR2AG1	11	6785038	6785988
HLA-DRA	CHR_HSCHR6_8_CTG1	32446915	32452117
MIR6873	CHR_HSCHR6_MHC_DBB_CTG1	33265152	33265214
RNU6-1038P	18	21879801	21879904
MIR5702	2	226658710	226658793
RNY4P37	18	46077004	46077099
RNU6-762P	2	200899020	200899121
OR10A6	11	7927718	7928662
RN7SL222P	11	100641975	100642273
MIR211	CHR_HSCHR15_4_CTG8	31216515	31216624
RN7SL97P	18	25818234	25818532
NCAPD3	11	134150119	134225454
MIR5584	1	44545493	44545552
OXCT1	5	41730065	41870519
RNU6-1241P	16	27998295	27998401
OR4X2	11	48245104	48246015
MIR6838	7	44073378	44073433
RN7SL39P	18	3571215	3571511
LINC00379	13	91127613	91131407
RNU6ATAC14P	2	176664676	176664766
MIR548AS	13	92490163	92490220
OR4X1	11	48263861	48264778
RNU6-362P	17	75031097	75031186
RNU6-151P	1	111650431	111650537
MIR6875	7	100868036	100868107
NLRP2	CHR_HSCHR19LRC_COX1_CTG3_1	54894315	54930171
OR4C16	11	55572128	55573060
RNY3P16	X	119456558	119456658
RNU2-5P	9	70188571	70188750
MIR3197	21	41167557	41167629
RN7SL272P	13	27989296	27989584
RN7SL120P	3	1065580	1065875
RNU6-644P	5	116188455	116188552
OR5D13	11	55773438	55774382
RNU6-721P	18	15320840	15320944
SNORD2	3	186784796	186784864
CYB561A3	11	61348745	61362299
RNU6-189P	14	49901850	49901950
RNU6-244P	14	102501676	102501779
MIR105-2	X	152394412	152394492
MIR548AW	9	132945707	132945771
OR5L1	11	55811467	55812402
CETP	16	56961850	56983845
